stt,H,W
555,105.55,13.66
556,105.56,13.69
557,105.57,13.71
558,105.58,13.74
559,105.59,13.76
560,105.60,13.79
561,105.61,13.81
562,105.62,13.84
563,105.63,13.86
564,105.64,13.89
565,105.65,13.91
566,105.66,13.94
567,105.67,13.97
568,105.68,13.99
569,105.69,14.02
570,105.70,14.04
571,105.71,14.07
572,105.72,14.09
573,105.73,14.12
574,105.74,14.14
575,105.75,14.17
576,105.76,14.19
577,105.77,14.22
578,105.78,14.25
579,105.79,14.27
580,105.80,14.30
581,105.81,14.32
582,105.82,14.35
583,105.83,14.37
584,105.84,14.40
585,105.85,14.42
586,105.86,14.45
587,105.87,14.48
588,105.88,14.50
589,105.89,14.53
590,105.90,14.55
591,105.91,14.58
592,105.92,14.60
593,105.93,14.63
594,105.94,14.65
595,105.95,14.68
596,105.96,14.70
597,105.97,14.73
598,105.98,14.76
599,105.99,14.78
600,106.00,14.81
601,106.01,14.83
602,106.02,14.86
603,106.03,14.88
604,106.04,14.91
605,106.05,14.93
606,106.06,14.96
607,106.07,14.98
608,106.08,15.01
609,106.09,15.04
610,106.10,15.06
611,106.11,15.09
612,106.12,15.11
613,106.13,15.14
614,106.14,15.16
615,106.15,15.19
616,106.16,15.21
617,106.17,15.24
618,106.18,15.26
619,106.19,15.29
620,106.20,15.32
621,106.21,15.34
622,106.22,15.37
623,106.23,15.39
624,106.24,15.42
625,106.25,15.44
626,106.26,15.47
627,106.27,15.49
628,106.28,15.52
629,106.29,15.54
630,106.30,15.57
631,106.31,15.60
632,106.32,15.62
633,106.33,15.65
634,106.34,15.67
635,106.35,15.70
636,106.36,15.72
637,106.37,15.75
638,106.38,15.77
639,106.39,15.80
640,106.40,15.82
641,106.41,15.85
642,106.42,15.88
643,106.43,15.90
644,106.44,15.93
645,106.45,15.95
646,106.46,15.98
647,106.47,16.00
648,106.48,16.03
649,106.49,16.05
650,106.50,16.08
651,106.51,16.10
652,106.52,16.13
653,106.53,16.16
654,106.54,16.18
655,106.55,16.21
656,106.56,16.23
657,106.57,16.26
658,106.58,16.28
659,106.59,16.31
660,106.60,16.33
661,106.61,16.36
662,106.62,16.38
663,106.63,16.41
664,106.64,16.44
665,106.65,16.46
666,106.66,16.49
667,106.67,16.51
668,106.68,16.54
669,106.69,16.56
670,106.70,16.59
671,106.71,16.61
672,106.72,16.64
673,106.73,16.66
674,106.74,16.69
675,106.75,16.72
676,106.76,16.74
677,106.77,16.77
678,106.78,16.79
679,106.79,16.82
680,106.80,16.84
681,106.81,16.87
682,106.82,16.89
683,106.83,16.92
684,106.84,16.94
685,106.85,16.97
686,106.86,17.00
687,106.87,17.02
688,106.88,17.05
689,106.89,17.07
690,106.90,17.10
691,106.91,17.12
692,106.92,17.15
693,106.93,17.17
694,106.94,17.20
695,106.95,17.22
696,106.96,17.25
697,106.97,17.28
698,106.98,17.30
699,106.99,17.33
700,107.00,17.35
701,107.01,17.38
702,107.02,17.40
703,107.03,17.43
704,107.04,17.45
705,107.05,17.48
706,107.06,17.50
707,107.07,17.53
708,107.08,17.56
709,107.09,17.58
710,107.10,17.61
711,107.11,17.63
712,107.12,17.66
713,107.13,17.68
714,107.14,17.71
715,107.15,17.73
716,107.16,17.76
717,107.17,17.78
718,107.18,17.81
719,107.19,17.84
720,107.20,17.86
721,107.21,17.89
722,107.22,17.91
723,107.23,17.94
724,107.24,17.96
725,107.25,17.99
726,107.26,18.01
727,107.27,18.04
